Book,Range,Source
Deuteronomy,1:1-4:24,D
Deuteronomy,4:25-31,D
Deuteronomy,4:32-49,D
Deuteronomy,5:1-8:18,D
Deuteronomy,8:19-20,D
Deuteronomy,9:1-11:32,D
Deuteronomy,12:1-26:15,D
Deuteronomy,26:16-19,D
Deuteronomy,27:1-10,D
Deuteronomy,27:11-26,D
Deuteronomy,28:1-35,D
Deuteronomy,28:36-37,D
Deuteronomy,28:38-62,D
Deuteronomy,28:63-68,D
Deuteronomy,28:69,D
Deuteronomy,29:1-20,D
Deuteronomy,29:21-27,D
Deuteronomy,29:28,D
Deuteronomy,30:1-10,D
Deuteronomy,30:11-13,D
Deuteronomy,30:14-20,D
Deuteronomy,31:1-8,D
Deuteronomy,31:9-12,D
Deuteronomy,31:13,O
Deuteronomy,31:14-15,E
Deuteronomy,31:16-22,D
Deuteronomy,31:23,E
Deuteronomy,31:24-27,D
Deuteronomy,31:28-30,D
Deuteronomy,32:1-43,O
Deuteronomy,32:44,D
Deuteronomy,32:45-47,D
Deuteronomy,32:48-52,O
Deuteronomy,33:1,E
Deuteronomy,33:2-29,O
Deuteronomy,34:1-6,E
Deuteronomy,34:7-9,P
Deuteronomy,34:10-12,D
