Book,Range,Source
Genesis,1:1-2:3,P
Genesis,2:4.1-2:4.5,R
Genesis,2:4.6-2:25.99,J
Genesis,3:1-24,J
Genesis,4:1-16,J
Genesis,4:17-26,J
Genesis,5:1-28,R
Genesis,5:29,J
Genesis,5:30-32,R
Genesis,6:1-4,J
Genesis,6:5-8,J
Genesis,6:9-22,P
Genesis,7:1-5,J
Genesis,7:6,R
Genesis,7:7,J
Genesis,7:8-9,P
Genesis,7:10,J
Genesis,7:11,P
Genesis,7:12,J
Genesis,7:13.1-7:16.10,P
Genesis,7:16.11-7:20.99,J
Genesis,7:21,P
Genesis,7:22-23,J
Genesis,7:24,P
Genesis,8:1.1-8:2.5,P
Genesis,8:2.6-8:3.6,J
Genesis,8:3.7-8:5.99,P
Genesis,8:6,J
Genesis,8:7,P
Genesis,8:8-12,J
Genesis,8:13.1-8:13.12,P
Genesis,8:13.13-8:13.99,J
Genesis,8:14-19,P
Genesis,8:20-22,J
Genesis,9:1-17,P
Genesis,9:18-27,J
Genesis,9:28-29,R
Genesis,10:1.1-10:1.7,R
Genesis,10:1.8-10:7.99,P
Genesis,10:8-19,J
Genesis,10:20,P
Genesis,10:21,J
Genesis,10:22-23,P
Genesis,10:24-30,J
Genesis,10:31-32,P
Genesis,11:1-9,J
Genesis,11:10.1-11:10.3,R
Genesis,11:10.4-11:26.99,R
Genesis,11:27.1-11:27.3,R
Genesis,11:27.4-11:31.99,P
Genesis,11:32,R
Genesis,12:1.1-12:4.9,J
Genesis,12:4.10-12:5.99,P
Genesis,12:6-9,J
Genesis,12:10-20,J
Genesis,13:1-5,J
Genesis,13:6,P
Genesis,13:7.1-13:11.10,J
Genesis,13:11.11-13:12.8,P
Genesis,13:12.9-13:18.99,J
Genesis,14:1-24,J
Genesis,15:1-21,J
Genesis,16:1-2,J
Genesis,16:3,P
Genesis,16:4-14,J
Genesis,16:15-16,P
Genesis,17:1-27,P
Genesis,18:1-33,J
Genesis,19:1-28,J
Genesis,19:29,P
Genesis,19:30-38,J
Genesis,20:1-18,E
Genesis,21:1.1-21:1.6,J
Genesis,21:1.7-21:1.99,P
Genesis,21:2.1-21:2.6,J
Genesis,21:2.7-21:5.99,P
Genesis,21:6,E
Genesis,21:7,J
Genesis,21:8-21,E
Genesis,21:22-34,E
Genesis,22:1-10,E
Genesis,22:11.1-22:16.5,R
Genesis,22:16.6-22:19.99,E
Genesis,22:20-24,J
Genesis,23:1-20,P
Genesis,24:1-67,J
Genesis,25:1-4,E
Genesis,25:5-6,R
Genesis,25:7,P
Genesis,25:8.1-25:8.1,P
Genesis,25:8.2-25:8.7,J
Genesis,25:8.8-25:11.9,P
Genesis,25:11.10-25:11.99,J
Genesis,25:12,R
Genesis,25:13-18,P
Genesis,25:19,R
Genesis,25:20,P
Genesis,25:21-34,J
Genesis,26:1-11,J
Genesis,26:12-33,J
Genesis,26:34-35,P
Genesis,27:1-45,J
Genesis,27:46,P
Genesis,28:1-9,P
Genesis,28:10.1-28:11.6,J
Genesis,28:11.7-28:12.99,E
Genesis,28:13-16,J
Genesis,28:17-18,E
Genesis,28:19,J
Genesis,28:20-22,E
Genesis,29:1-30,J
Genesis,29:31-35,J
Genesis,30:1.1-30:1.6,J
Genesis,30:1.7-30:3.99,E
Genesis,30:4.1-30:4.6,J
Genesis,30:4.7-30:24.4,E
Genesis,30:24.5-30:24.99,J
Genesis,30:25-43,J
Genesis,31:1-2,E
Genesis,31:3,J
Genesis,31:4-16,E
Genesis,31:17,J
Genesis,31:18,P
Genesis,31:19-48,E
Genesis,31:49,J
Genesis,31:50-54,E
Genesis,32:1-3,E
Genesis,32:4-13,J
Genesis,32:14-24,E
Genesis,32:25-33,E
Genesis,33:1-17,E
Genesis,33:18.1-33:18.5,E
Genesis,33:18.6-33:18.11,R
Genesis,33:18.12-33:18.99,E
Genesis,33:19-20,E
Genesis,34:1-31,J
Genesis,35:1-8,E
Genesis,35:9-15,P
Genesis,35:16-20,E
Genesis,35:21-22,J
Genesis,35:23-26,P
Genesis,35:27,P
Genesis,35:28-29,P
Genesis,36:1,R
Genesis,36:2-30,P
Genesis,36:31-43,J
Genesis,37:1,P
Genesis,37:2.1-37:2.3,R
Genesis,37:2.4-37:2.99,J
Genesis,37:3.1-37:3.11,E
Genesis,37:3.12-37:3.99,J
Genesis,37:4,E
Genesis,37:5-11,J
Genesis,37:12-18,E
Genesis,37:19-20,J
Genesis,37:21-22,E
Genesis,37:23,J
Genesis,37:24,E
Genesis,37:25.1-37:25.3,E
Genesis,37:25.4-37:27.99,J
Genesis,37:28.1-37:28.10,E
Genesis,37:28.11-37:28.99,J
Genesis,37:29-30,E
Genesis,37:31-35,J
Genesis,37:36,E
Genesis,38:1-30,J
Genesis,39:1-23,J
Genesis,40:1-23,E
Genesis,41:1-45,E
Genesis,41:46.1-41:46.9,P
Genesis,41:46.10-41:57.99,E
Genesis,42:1-4,J
Genesis,42:5-7,E
Genesis,42:8-20,J
Genesis,42:21-25,E
Genesis,42:26-34,J
Genesis,42:35-37,E
Genesis,42:38,J
Genesis,43:1-13,J
Genesis,43:14,E
Genesis,43:15-17,J
Genesis,43:18-23,E
Genesis,43:24-34,J
Genesis,44:1-34,J
Genesis,45:1-2,J
Genesis,45:3,E
Genesis,45:4-28,J
Genesis,46:1.1-46:5.4,E
