Book,Range,Source
Numbers,1:1-2:34,P
Numbers,3:1,R
Numbers,3:2-9:14,P
Numbers,9:15-23,R
Numbers,10:1-10,P
Numbers,10:11-12,P
Numbers,10:13,R
Numbers,10:14-27,P
Numbers,10:28,R
Numbers,10:29-36,J
Numbers,11:1-3,E
Numbers,11:4-35,E
Numbers,12:1-16,E
Numbers,13:1-16,P
Numbers,13:17-20,J
Numbers,13:21-22,P
Numbers,13:23-24,J
Numbers,13:25-26,P
Numbers,13:27-31,J
Numbers,13:32,P
Numbers,13:33,J
Numbers,14:1.1-14:1.6,P
Numbers,14:1.7-14:1.99,J
Numbers,14:2-3,P
Numbers,14:4,J
Numbers,14:5-10,P
Numbers,14:11-25,J
Numbers,14:26-39,P
Numbers,14:40-45,J
Numbers,15:1-31,R
Numbers,15:32-36,P
Numbers,15:37-41,P
Numbers,16:1.1-16:1.8,P
Numbers,16:1.9-16:2.3,J
Numbers,16:2.4-16:11.99,P
Numbers,16:12-14,J
Numbers,16:15-24,P
Numbers,16:25,J
Numbers,16:26,P
Numbers,16:27.1-16:27.4,P
Numbers,16:27.5-16:27.6,R
Numbers,16:27.7-16:32.6,J
Numbers,16:32.7-16:32.99,P
Numbers,16:33-34,J
Numbers,16:35,P
Numbers,17:1-18:32,P
Numbers,19:1-22,P
Numbers,20:1.1-20:1.5,R
Numbers,20:1.6-20:13.99,P
Numbers,20:14-21,J
Numbers,20:22,R
Numbers,20:23-29,P
Numbers,21:1-3,J
Numbers,21:4.1-21:4.10,R
Numbers,21:4.11-21:9.99,E
Numbers,21:10-11,R
Numbers,21:12-20,R
Numbers,21:21-35,J
Numbers,22:1,R
Numbers,22:2-24:25,E
Numbers,25:1-5,J
Numbers,25:6-19,P
Numbers,26:1-8,P
Numbers,26:9-11,R
Numbers,26:12-65,P
Numbers,27:1-11,P
Numbers,27:12-23,P
Numbers,28:1-31,R
Numbers,29:1-39,R
Numbers,30:1-17,P
Numbers,31:1-54,P
Numbers,32:1-42,P
Numbers,33:1-49,R
Numbers,33:50-56,P
Numbers,34:1-29,P
Numbers,35:1-34,P
Numbers,36:1-13,P
