word,J,E,P,R,Genesis,Exodus,Leviticus,Numbers,Deuteronomy
בראשית,0,0,1,0,1,0,0,0,0
ברא,0,0,4,1,5,0,0,0,1
אלהים,32,82,76,4,156,35,0,7,30
את,397,477,1195,92,668,652,429,439,435
השמים,13,11,17,1,33,11,0,0,29
ואת,138,85,500,10,210,220,178,125,95
הארץ,76,49,149,5,133,37,37,73,84
׃,1001,982,2576,273,1530,1202,856,1282,947
והארץ,2,0,3,2,5,0,3,0,2
היתה,7,2,6,0,8,5,1,1,3
תהו,0,0,1,0,1,0,0,0,0
ובהו,0,0,1,0,1,0,0,0,0
וחשך,0,0,1,0,1,0,0,0,0
על,121,173,527,34,211,276,204,175,128
־,1909,2075,5103,353,2954,2444,1875,2281,1915
פני,27,25,44,3,46,22,19,13,15
תהום,1,0,3,0,4,0,0,0,0
ורוח,0,3,1,0,2,1,0,1,0
מרחפת,0,0,1,0,1,0,0,0,0
המים,18,5,23,1,31,12,2,6,0
ויאמר,245,263,89,4,347,156,10,95,24
יהי,2,2,4,0,6,2,0,0,2
אור,1,1,2,0,3,1,0,0,0
ויהי,82,44,51,6,125,44,1,16,8
וירא,32,28,21,1,51,19,3,11,4
האור,0,0,3,0,3,0,0,0,0
כי,222,238,242,12,284,184,129,123,267
טוב,16,6,12,0,23,3,4,4,4
ויבדל,0,0,2,0,2,0,0,0,0
בין,5,11,32,4,15,19,7,13,10
ובין,9,6,30,2,23,12,10,4,5
החשך,0,0,2,0,2,0,0,0,1
ויקרא,28,37,16,4,55,22,2,7,4
׀,60,64,171,5,92,79,54,81,82
לאור,0,0,1,0,1,0,0,0,0
יום,14,12,42,7,26,16,11,21,11
ולחשך,0,0,1,0,1,0,0,0,0
קרא,10,7,4,0,16,2,1,1,2
לילה,5,6,3,1,5,6,0,4,8
ערב,4,4,8,0,10,5,2,0,3
בקר,2,4,53,11,8,11,10,42,3
אחד,12,21,120,27,23,23,19,115,8
רקיע,0,0,2,0,2,0,0,0,0
בתוך,9,4,32,2,12,15,4,16,4
מבדיל,0,0,1,0,1,0,0,0,0
מים,11,13,18,6,16,16,5,13,6
למים,0,1,1,0,1,1,0,0,0
ויעש,10,15,56,0,18,52,3,9,0
