verse_id,syntax_signature,source
Tanakh.Torah.Genesis.1.1,0:obl->1|1:root->-1|2:nsubj->1|3:case:acc->4|4:obj->1|5:case->6|6:conj->4|7:punct->1,P
Tanakh.Torah.Genesis.1.2,0:nsubj->2|1:cop->2|2:root->-1|3:conj->2|4:conj->2|5:case->7|6:punct->5|7:obl->4|8:compound:smixut->7|9:nsubj->11|10:compound:smixut->9|11:conj->2|12:case->14|13:punct->12|14:obl->11|15:compound:smixut->14|16:punct->2,P
Tanakh.Torah.Genesis.1.3,0:root->-1|1:nsubj->0|2:ccomp->0|3:obj->0|4:conj->0|5:punct->6|6:nsubj->4|7:punct->4,P
Tanakh.Torah.Genesis.1.4,0:root->-1|1:nsubj->0|2:case:acc->4|3:punct->4|4:obj->0|5:mark->7|6:punct->5|7:ccomp->0|8:conj->7|9:nsubj->8|10:case->11|11:obl->8|12:case->13|13:conj->11|14:punct->0,P
Tanakh.Torah.Genesis.1.5,0:root->-1|1:nsubj->0|2:punct->0|3:obl->0|4:compound:smixut->3|5:conj->0|6:ccomp->5|7:obj->6|8:conj->6|9:punct->10|10:conj->6|11:conj->6|12:punct->10|13:compound:smixut->6|14:obl:tmod->6|15:nummod->14|16:punct->0,P
Tanakh.Torah.Genesis.1.6,0:root->-1|1:nsubj->0|2:ccomp->0|3:nsubj->2|4:case->5|5:obl->0|6:cop->7|7:conj->0|8:case->9|9:obl->7|10:conj->9|11:punct->0,P
Tanakh.Torah.Genesis.1.7,0:root->-1|1:nsubj->0|2:case:acc->4|3:punct->4|4:obj->0|5:conj->0|6:case->7|7:obl->5|8:mark->12|9:case->10|10:conj->7|11:case->12|12:conj->7|13:mark->12|14:case->15|15:orphan->12|16:conj->12|17:punct->18|18:nsubj->16|19:punct->18,P
Tanakh.Torah.Genesis.1.8,0:root->-1|1:nsubj->0|2:obl->0|3:parataxis->0|4:conj->3|5:punct->6|6:flat->4|7:conj->6|8:punct->6|9:parataxis->0|10:appos->9|11:amod->10|12:punct->3,P
Tanakh.Torah.Genesis.1.9,0:root->-1|1:nsubj->0|2:ccomp->0|3:obj->2|4:case->5|5:obl->0|6:case->8|7:punct->6|8:obl->0|9:nummod->8|10:conj->2|11:nsubj->10|12:conj->2|13:punct->14|14:discourse->12|15:punct->12,P
Tanakh.Torah.Genesis.1.10,0:root->-1|1:nsubj->0|2:punct->3|3:obl->0|4:compound:smixut->3|5:conj->3|6:compound:smixut->5|7:parataxis->0|8:obj->7|9:conj->7|10:nsubj->9|11:mark->13|12:punct->13|13:ccomp->7|14:punct->13,P
