length,J,E,P,R,Genesis,Exodus,Leviticus,Numbers,Deuteronomy
2,0,0,3,0,0,3,0,0,3
3,3,1,8,1,5,3,2,3,2
4,7,3,32,17,5,8,3,43,9
5,11,20,124,20,23,42,36,74,15
6,30,19,96,13,55,31,16,57,32
7,43,27,122,21,71,46,28,68,25
8,53,41,140,18,84,49,43,77,46
9,57,47,177,22,93,76,46,89,47
10,82,83,172,19,119,90,60,87,55
11,94,72,188,24,133,80,67,101,70
12,78,76,177,21,118,96,71,69,66
13,84,89,174,17,126,99,55,87,68
14,76,81,190,18,126,94,65,80,60
15,72,54,146,15,101,72,53,70,44
16,58,50,157,8,76,74,64,61,51
17,60,61,149,7,92,77,50,63,56
18,38,43,118,12,68,48,51,48,45
19,43,55,74,5,53,58,23,45,45
20,35,38,95,7,56,46,22,55,40
21,18,29,64,2,36,29,22,26,32
22,23,24,59,2,31,23,31,21,42
23,12,19,31,2,20,16,13,16,30
24,7,19,35,2,12,19,17,16,23
25,6,14,17,0,11,9,5,12,12
26,4,6,14,0,5,8,5,6,16
27,2,3,11,0,2,7,3,4,10
28,4,4,5,0,4,1,2,6,6
29,3,3,7,0,5,4,3,1,3
30,1,0,7,0,2,1,2,4,3
31,0,1,1,0,0,1,1,0,2
32,1,0,0,0,1,0,0,0,1
33,0,1,0,0,0,2,0,0,0
34,0,1,0,0,0,1,0,0,0
