verse_id,constituency_signature,source
Tanakh.Torah.Genesis.1.1,s0:xQtX(Time+Pred+Subj+Objc),P
Tanakh.Torah.Genesis.1.2,s0:WXQt(Conj+Subj+Pred+PreC)|s1:NmCl(Conj+Subj+PreC)|s2:Ptcp(Conj+Subj+PreC+Cmpl),P
Tanakh.Torah.Genesis.1.3,s0:WayX(Conj+Pred+Subj)|s1:ZYqX(Pred+Subj)|s2:WayX(Conj+Pred+Subj),P
Tanakh.Torah.Genesis.1.4,s0:WayX(Conj+Pred+Subj+Objc)|s0:xQt0(Conj+Pred)|s1:WayX(Conj+Pred+Subj+Cmpl),P
Tanakh.Torah.Genesis.1.5,s0:WayX(Conj+Pred+Subj+Cmpl+Objc)|s1:WxQ0(Conj+Cmpl+Pred+Objc)|s2:WayX(Conj+Pred+Subj)|s3:WayX(Conj+Pred+Subj)|s4:NmCl(PreC),P
Tanakh.Torah.Genesis.1.6,s0:WayX(Conj+Pred+Subj)|s1:ZYqX(Pred+Subj+PreC)|s2:WYq0(Conj+Pred+PreC+Cmpl),P
Tanakh.Torah.Genesis.1.7,s0:WayX(Conj+Pred+Subj+Objc)|s1:Way0(Conj+Pred+Cmpl)|s1:NmCl(Rela+PreC)|s1:NmCl(Rela+PreC)|s2:Way0(Conj+Pred+Modi),P
Tanakh.Torah.Genesis.1.8,s0:WayX(Conj+Pred+Subj+Cmpl+Objc)|s1:WayX(Conj+Pred+Subj)|s2:WayX(Conj+Pred+Subj)|s3:NmCl(PreC),P
Tanakh.Torah.Genesis.1.9,s0:WayX(Conj+Pred+Subj)|s1:ZYqX(Pred+Subj+Cmpl)|s2:WYqX(Conj+Pred+Subj)|s3:Way0(Conj+Pred+Modi),P
Tanakh.Torah.Genesis.1.10,s0:WayX(Conj+Pred+Subj+Cmpl+Objc)|s1:WxQ0(Conj+Cmpl+Pred+Objc)|s2:WayX(Conj+Pred+Subj)|s2:xQt0(Conj+Pred),P
Tanakh.Torah.Genesis.1.11,s0:WayX(Conj+Pred+Subj)|s1:ZYqX(Pred+Subj+Objc)|s1:Ptcp(PreC+Objc)|s1:Ptcp(PreC+Objc+Adju+Loca)|s1:NmCl(Rela+Subj+PreC)|s2:Way0(Conj+Pred+Modi),P
Tanakh.Torah.Genesis.1.12,s0:WayX(Conj+Pred+Subj+Objc)|s0:Ptcp(PreC+Objc+Adju)|s0:Ptcp(PreC+Objc+Adju)|s0:NmCl(Rela+Subj+PreC)|s1:WayX(Conj+Pred+Subj)|s1:xQt0(Conj+Pred),P
Tanakh.Torah.Genesis.1.13,s0:WayX(Conj+Pred+Subj)|s1:WayX(Conj+Pred+Subj)|s2:NmCl(PreC),P
Tanakh.Torah.Genesis.1.14,s0:WayX(Conj+Pred+Subj)|s1:ZYqX(Pred+Subj+Loca)|s1:InfC(Pred+Cmpl)|s2:WQt0(Conj+Pred+Cmpl),P
Tanakh.Torah.Genesis.1.15,s0:WQt0(Conj+Pred+Cmpl+Loca)|s0:InfC(Pred+Cmpl)|s1:Way0(Conj+Pred+Modi),P
Tanakh.Torah.Genesis.1.16,s0:WayX(Conj+Pred+Subj+Objc)|s0:Ellp(Objc)|s0:Ellp(Conj+Objc)|s0:Ellp(Conj+Objc),P
Tanakh.Torah.Genesis.1.17,s0:WayX(Conj+Pred+Objc+Subj+Cmpl)|s0:InfC(Pred+Cmpl),P
Tanakh.Torah.Genesis.1.18,s0:InfC(Conj+Pred+Cmpl)|s0:InfC(Conj+Pred+Cmpl)|s1:WayX(Conj+Pred+Subj)|s1:xQt0(Conj+Pred),P
